Country,Site,Strategy,Age.Group,Vaccine.Effects,Value_50_50
India,Urban,lt1,<6 months,Direct,34
India,Urban,lt1,6-11 months,Direct,33
India,Urban,lt1,1-4 years,Direct,0
India,Urban,lt1,5-9 years,Direct,0
India,Urban,lt1,10-19 years,Direct,0
India,Urban,lt1,20-29 years,Direct,0
India,Urban,lt1,30-39 years,Direct,0
India,Urban,lt1,40-59 years,Direct,0
India,Urban,lt1,60+ years,Direct,0
India,Urban,lt1,<6 months,Indirect,0
India,Urban,lt1,6-11 months,Indirect,0
India,Urban,lt1,1-4 years,Indirect,0
India,Urban,lt1,5-9 years,Indirect,0
India,Urban,lt1,10-19 years,Indirect,0
India,Urban,lt1,20-29 years,Indirect,0
India,Urban,lt1,30-39 years,Indirect,0
India,Urban,lt1,40-59 years,Indirect,0
India,Urban,lt1,60+ years,Indirect,0
India,Rural,aya,<6 months,Overall,4
India,Rural,aya,6-11 months,Overall,5
India,Rural,aya,1-4 years,Overall,2
India,Rural,aya,5-9 years,Overall,1
India,Rural,aya,10-19 years,Overall,15
India,Rural,aya,20-29 years,Overall,19
India,Rural,aya,30-39 years,Overall,2
India,Rural,aya,40-59 years,Overall,3
India,Rural,aya,60+ years,Overall,3
India,Rural,aya,<6 months,Direct,0
India,Rural,aya,6-11 months,Direct,0
India,Rural,aya,1-4 years,Direct,0
India,Rural,aya,5-9 years,Direct,0
India,Rural,aya,10-19 years,Direct,25
India,Rural,aya,20-29 years,Direct,32
India,Rural,aya,30-39 years,Direct,0
India,Rural,aya,40-59 years,Direct,0
India,Rural,aya,60+ years,Direct,0
India,Rural,aya,<6 months,Indirect,4
India,Rural,aya,6-11 months,Indirect,5
India,Rural,aya,1-4 years,Indirect,2
India,Rural,aya,5-9 years,Indirect,1
India,Rural,aya,10-19 years,Indirect,3
India,Rural,aya,20-29 years,Indirect,4
India,Rural,aya,30-39 years,Indirect,2
India,Rural,aya,40-59 years,Indirect,3
India,Rural,aya,60+ years,Indirect,3
India,Urban,aya,<6 months,Overall,5
India,Urban,aya,6-11 months,Overall,4
India,Urban,aya,1-4 years,Overall,3
India,Urban,aya,5-9 years,Overall,2
India,Urban,aya,10-19 years,Overall,17
India,Urban,aya,20-29 years,Overall,20
India,Urban,aya,30-39 years,Overall,3
India,Urban,aya,40-59 years,Overall,3
India,Urban,aya,60+ years,Overall,3
India,Urban,aya,<6 months,Direct,0
India,Urban,aya,6-11 months,Direct,0
India,Urban,aya,1-4 years,Direct,0
India,Urban,aya,5-9 years,Direct,0
India,Urban,aya,10-19 years,Direct,27
India,Urban,aya,20-29 years,Direct,32
India,Urban,aya,30-39 years,Direct,0
India,Urban,aya,40-59 years,Direct,0
India,Urban,aya,60+ years,Direct,0
India,Urban,aya,<6 months,Indirect,5
India,Urban,aya,6-11 months,Indirect,4
India,Urban,aya,1-4 years,Indirect,3
India,Urban,aya,5-9 years,Indirect,2
India,Urban,aya,10-19 years,Indirect,4
India,Urban,aya,20-29 years,Indirect,4
India,Urban,aya,30-39 years,Indirect,3
India,Urban,aya,40-59 years,Indirect,3
India,Urban,aya,60+ years,Indirect,3
Pakistan,Rural,lt1,<6 months,Overall,10
Pakistan,Rural,lt1,6-11 months,Overall,9
Pakistan,Rural,lt1,1-4 years,Overall,0
Pakistan,Rural,lt1,5-9 years,Overall,0
Pakistan,Rural,lt1,10-19 years,Overall,0
Pakistan,Rural,lt1,20-29 years,Overall,0
Pakistan,Rural,lt1,30-39 years,Overall,0
Pakistan,Rural,lt1,40-59 years,Overall,0
Pakistan,Rural,lt1,60+ years,Overall,0
Pakistan,Rural,lt1,<6 months,Direct,19
Pakistan,Rural,lt1,6-11 months,Direct,17
Pakistan,Rural,lt1,1-4 years,Direct,0
Pakistan,Rural,lt1,5-9 years,Direct,0
Pakistan,Rural,lt1,10-19 years,Direct,0
Pakistan,Rural,lt1,20-29 years,Direct,0
Pakistan,Rural,lt1,30-39 years,Direct,0
Pakistan,Rural,lt1,40-59 years,Direct,0
Pakistan,Rural,lt1,60+ years,Direct,0
Pakistan,Rural,lt1,<6 months,Indirect,0
Pakistan,Rural,lt1,6-11 months,Indirect,0
Pakistan,Rural,lt1,1-4 years,Indirect,0
Pakistan,Rural,lt1,5-9 years,Indirect,0
Pakistan,Rural,lt1,10-19 years,Indirect,0
Pakistan,Rural,lt1,20-29 years,Indirect,0
Pakistan,Rural,lt1,30-39 years,Indirect,0
Pakistan,Rural,lt1,40-59 years,Indirect,0
Pakistan,Rural,lt1,60+ years,Indirect,0
Pakistan,Urban,lt1,<6 months,Overall,16
Pakistan,Urban,lt1,6-11 months,Overall,15
Pakistan,Urban,lt1,1-4 years,Overall,0
Pakistan,Urban,lt1,5-9 years,Overall,0
Pakistan,Urban,lt1,10-19 years,Overall,0
Pakistan,Urban,lt1,20-29 years,Overall,0
Pakistan,Urban,lt1,30-39 years,Overall,0
Pakistan,Urban,lt1,40-59 years,Overall,0
Pakistan,Urban,lt1,60+ years,Overall,0
Pakistan,Urban,lt1,<6 months,Direct,32
Pakistan,Urban,lt1,6-11 months,Direct,30
Pakistan,Urban,lt1,1-4 years,Direct,0
Pakistan,Urban,lt1,5-9 years,Direct,0
Pakistan,Urban,lt1,10-19 years,Direct,0
Pakistan,Urban,lt1,20-29 years,Direct,0
Pakistan,Urban,lt1,30-39 years,Direct,0
Pakistan,Urban,lt1,40-59 years,Direct,0
Pakistan,Urban,lt1,60+ years,Direct,0
Pakistan,Urban,lt1,<6 months,Indirect,0
Pakistan,Urban,lt1,6-11 months,Indirect,0
Pakistan,Urban,lt1,1-4 years,Indirect,0
Pakistan,Urban,lt1,5-9 years,Indirect,0
Pakistan,Urban,lt1,10-19 years,Indirect,0
Pakistan,Urban,lt1,20-29 years,Indirect,0
Pakistan,Urban,lt1,30-39 years,Indirect,0
Pakistan,Urban,lt1,40-59 years,Indirect,0
Pakistan,Urban,lt1,60+ years,Indirect,0
Pakistan,Rural,aya,<6 months,Overall,1
Pakistan,Rural,aya,6-11 months,Overall,0
Pakistan,Rural,aya,1-4 years,Overall,0
Pakistan,Rural,aya,5-9 years,Overall,0
Pakistan,Rural,aya,10-19 years,Overall,6
Pakistan,Rural,aya,20-29 years,Overall,8
Pakistan,Rural,aya,30-39 years,Overall,0
Pakistan,Rural,aya,40-59 years,Overall,0
Pakistan,Rural,aya,60+ years,Overall,0
Pakistan,Rural,aya,<6 months,Direct,0
Pakistan,Rural,aya,6-11 months,Direct,0
Pakistan,Rural,aya,1-4 years,Direct,0
Pakistan,Rural,aya,5-9 years,Direct,0
Pakistan,Rural,aya,10-19 years,Direct,11
Pakistan,Rural,aya,20-29 years,Direct,15
Pakistan,Rural,aya,30-39 years,Direct,0
Pakistan,Rural,aya,40-59 years,Direct,0
Pakistan,Rural,aya,60+ years,Direct,0
Pakistan,Rural,aya,<6 months,Indirect,1
Pakistan,Rural,aya,6-11 months,Indirect,0
Pakistan,Rural,aya,1-4 years,Indirect,0
Pakistan,Rural,aya,5-9 years,Indirect,0
Pakistan,Rural,aya,10-19 years,Indirect,0
Pakistan,Rural,aya,20-29 years,Indirect,0
Pakistan,Rural,aya,30-39 years,Indirect,0
Pakistan,Rural,aya,40-59 years,Indirect,0
Pakistan,Rural,aya,60+ years,Indirect,0
Pakistan,Urban,aya,<6 months,Overall,3
Pakistan,Urban,aya,6-11 months,Overall,3
Pakistan,Urban,aya,1-4 years,Overall,2
Pakistan,Urban,aya,5-9 years,Overall,1
Pakistan,Urban,aya,10-19 years,Overall,13
